,Titteli,Työnantaja,Sijainti,Linkki,Julkaistu
42,"Etätyöntekijä, Telia b2c myyjä",Soldem,Tampere,duunitori.fi/tyopaikat/tyo/suomen-telecenter-etatyontekija-telia-b2c-myyja-tampere-sdsuu-12435964,Julkaistu 15.9.
43,"Turvapalvelumyyjä, Tampere",Verisure Oy,Tampere,duunitori.fi/tyopaikat/tyo/turvapalvelumyyja-tampere-svser-12433843,Julkaistu 15.9.
44,Verkkokaupan asiakaspalvelutyöntekijä,Netrauta Finland Oy,Tampere,duunitori.fi/tyopaikat/tyo/verkkokaupan-asiakaspalvelutyontekija-hervantaan-stse-12435611,Julkaistu 14.9.
45,F2F-varainhankkija,Greenpeace,Tampere,duunitori.fi/tyopaikat/tyo/f2f-varainhankkija-stse-12433369,Julkaistu 14.9.
46,Toimistotyöntekijä/myyjä,KF-Myynti Oy,Tampere,duunitori.fi/tyopaikat/tyo/toimistotyontekijamyyja-stse-12433212,Julkaistu 14.9.
47,Myyjä,Tiger Stores Oy,Tampere,duunitori.fi/tyopaikat/tyo/myyjat-stse-12433353,Julkaistu 14.9.
48,Evelace jälleenmyyjä,EveLace Oy,Tampere,duunitori.fi/tyopaikat/tyo/evelace-jalleenmyyja-stse-12432725,Julkaistu 14.9.
49,Myyjä,H&M Hennes & Mauritz Oy,Tampere,duunitori.fi/tyopaikat/tyo/myyja-stse-12433333,Julkaistu 14.9.
50,Kotimyyjä,M&J Dynastia Oy,Tampere,duunitori.fi/tyopaikat/tyo/kotimyyja-stse-12433379,Julkaistu 14.9.
51,Customer Success Specialist - asiakaspalvelu ja asiakastuki,FabricAI Oy,Tampere,duunitori.fi/tyopaikat/tyo/customer-success-specialist-tampere-sdsuu-12431935,Julkaistu 14.9.
52,Sesonkityöntekijä asiakaspalveluun,Moment Digital Oy,Tampere ja 3 muuta,duunitori.fi/tyopaikat/tyo/midas-touch-sesonkityontekija-asiakaspalveluun-tampere-sdsuu-12432592,Julkaistu 14.9.
53,Etämyyjä,Henkilöstöpalvelu Hirmu Oy,Tampere ja 10 muuta,duunitori.fi/tyopaikat/tyo/etamyyja-tampere-sdsuu-12432423,Julkaistu 14.9.
54,Finnish speaking Customer Service Representative in Lisbon - relocation package included!,Lingocruit,portugal ja 2 muuta,duunitori.fi/tyopaikat/tyo/finnish-speaking-customer-service-in-lisbon-relocation-package-included-portugal-sdsuu-12418105,Julkaistu 14.9.
